Date,scope,n_articles,example_urls
2018-12-30,broad_nasdaq,468,https://www.modernreaders.com/news/2018/12/30/critical-survey-taoping-taop-and-determine-dtrm.html | https://www.economiahoy.mx/mercados-eAm-colombia/noticias/9610097/12/18/Los-valores-considerados-refugio-favoritos-de-Wall-Street-para-el-2019.html | https://www.azcentral.com/story/news/2018/12/30/biggest-news-you-missed-weekend/2444541002/
2019-05-07,broad_nasdaq,3118,https://www.globenewswire.com/news-release/2019/05/07/1818966/0/en/MediciNova-Participated-in-the-RECEDE-Phase-3-Degenerative-Cervical-Myelopathy-Trial-Kick-off-Meeting-DCM-Symposium-and-the-Official-Launch-of-Myelopathy-org-in-London-United-Kingd.html | https://www.tickerreport.com/banking-finance/4332139/comtech-telecomm-corp-cmtl-receives-36-75-consensus-price-target-from-analysts.html | https://www.globenewswire.com/news-release/2019/05/07/1818439/0/en/CareDx-s-AlloSeq-cfDNA-and-QTYPE-Solutions-Featured-at-EFI-2019.html
2019-09-12,broad_nasdaq,2263,https://www.dailypolitical.com/2019/09/12/mednax-inc-nysemd-shares-sold-by-tiverton-asset-management-llc.html | https://medicinehatnews.com/business/2019/09/12/tsx-sets-record-intraday-high-us-markets-rise-on-easing-trade-tensions/ | https://markets.businessinsider.com/news/stocks/castle-creek-pharmaceutical-holdings-announces-agreement-to-acquire-fibrocell-1028521822
2020-01-18,broad_nasdaq,354,https://finance.sina.com.cn/roll/2020-01-19/doc-iihnzahk5036941.shtml | https://de.investing.com/analysis/der-nasdaq-100-ubertrifft-sich-bald-selbst-wahrend-der-dax-zogert-200436411 | http://streetwisereport.com/making-way-towards-north-with-profitability-booster-eco-stim-energy-solutions-eses-energy-transfer-partners-nyseetp/3437813/
2020-05-25,broad_nasdaq,528,https://finance.sina.com.cn/roll/2020-05-26/doc-iirczymk3553293.shtml | https://www.washingtonpost.com/business/hong-kong-finance-has-a-security-blanket/2020/05/25/93de4a3c-9edb-11ea-be06-af5514ee0385_story.html | https://finance.yahoo.com/news/hong-kong-finance-security-blanket-220003413.html
2020-09-30,broad_nasdaq,1250,https://www.vietnamtribune.com/news/266558194/us-stocks-rally-amid-economic-data | https://www.israelherald.com/news/266558194/us-stocks-rally-amid-economic-data | https://www.timesunion.com/business/article/Business-Highlights-15610371.php
2021-02-05,broad_nasdaq,1787,https://henrysward.medium.com/finally-a-private-stock-exchange-cartax-3c658f30ac97?source=home---------3---------------------8b8e93ef_4b73_4166_bc37_56929079c93b-------7 | https://www.hawaiitelegraph.com/news/267752425/usa-truck-to-participate-in-stifel-and-cowen-conferences | http://usstock.jrj.com.cn/2021/02/06060131857278.shtml
2021-06-13,broad_nasdaq,130,https://www.nbcsandiego.com/news/business/money-report/u-s-stock-futures-are-flat-with-the-sp-500-at-a-record-high/2629898/ | http://s2.aleqt.com/10108/ | https://www.aleqt.com/2021/06/14/article_2112361.html
2021-10-19,broad_nasdaq,1746,http://news.kmib.co.kr/article/view.asp?arcid=0016379510&code=61141211&sid1=eco | https://www.dunya.com/finans/haberler/borsa/new-york-borsasi-yukselisle-kapandi-haberi-637140 | https://www.caribbeanherald.com/news/271527343/us-stocks-continue-higher-nasdaq-rises-107-points
2022-02-24,broad_nasdaq,2420,https://magic1079.iheart.com/content/2022-02-24-markets-send-mixed-signals-after-russia-invades-ukraine/ | https://www.sharonherald.com/news/markets-whipsaw-after-ukraine-attack-stocks-swing-to-gain/article_bf780b65-b3c8-5a99-82b1-48404c128ea3.html | https://www.brazilsun.com/news/272333668/new-gfc-looms-as-global-financial-markets-go-into-tailspin
2022-07-02,broad_nasdaq,329,https://www.fxstreet.com/cryptocurrencies/news/first-mover-asia-speculating-on-tokenized-carbon-offsets-wont-help-climate-crisi-btc-falls-under-19k-202207010040 | https://siliconangle.com/2022/07/02/tech-valuations-get-worse-heres-still-optimistic/ | http://www.habervitrini.com/iste-bitcoindeki-tarihi-dususun-5-sebebi/1073355
2022-11-08,broad_nasdaq,1983,https://www.swoknews.com/ap/national/ap-news-in-brief-at-6-04-p-m-est/article_a9168afc-f141-5646-b48b-044dc674bd3d.html | https://www.ksdk.com/article/news/nation-world/wall-street-election/507-966464ea-cf8d-4be2-9c8a-2434e25fb62c | https://www.cbc.ca/mediacentre/press-release/suzette-mayr-wins-the-2022-scotiabank-giller-prize
2023-03-16,broad_nasdaq,1573,https://www.nbcmiami.com/news/business/money-report/stock-futures-are-flat-after-banks-bolster-deposits-at-first-republic-live-updates/2995299/ | https://www.stltoday.com/business/stocks-rally-after-battered-first-republic-gets-a-lifeline/article_ace51c53-2f8e-5307-aa34-3e4a3228dde0.html | https://www.wral.com/asian-stocks-fall-after-wall-st-sinks-on-new-bank-fears/20766424/
2023-07-22,broad_nasdaq,756,https://www.theguardian.com/technology/2023/jul/23/artificial-intelligence-boom-generates-optimism-in-tech-sector-as-stocks-soar | https://theenterpriseleader.com/2023/07/22/invesco-sp-smallcap-high-dividend-low-volatility-etf-xshd-to-issue-dividend-of-0-11-on-july-28th.html | https://www.modernreaders.com/news/2023/07/22/invesco-real-assets-esg-etf-ivra-to-issue-dividend-of-0-02-on-july-28th.html
2023-11-27,broad_nasdaq,1651,https://www.globenewswire.com/news-release/2023/11/27/2786559/0/en/NCLA-Asks-en-Banc-Fifth-Circuit-to-Overturn-Nasdaq-Board-Diversity-Rules-as-Unauthorized-by-Statute.html | https://www.newyorktelegraph.com/news/274047183/us-stocks-weaken-as-traders-return-after-thanksgiving | https://www.nbcdfw.com/news/business/money-report/stock-futures-are-little-changed-as-investors-assess-pause-in-november-rally-live-updates/3397419/
2024-04-03,broad_nasdaq,2548,https://www.swissinfo.ch/eng/asian-stocks-to-rise-as-powell-reaffirms-rate-cuts%3a-markets-wrap/74999357 | https://www.wallstreet-online.de/nachricht/17950894-the-law-offices-of-frank-r-cruz-announces-investigation-of-sharecare-inc-shcr-on-behalf-of-investors | https://www.dailypolitical.com/2024/04/03/heartland-bank-trust-co-cuts-stock-holdings-in-advanced-micro-devices-inc-nasdaqamd.html
2024-08-09,broad_nasdaq,2667,https://theenterpriseleader.com/2024/08/09/cyberark-software-nasdaqcybr-pt-raised-to-310-00-at-citigroup.html | https://www.nbd.com.cn/articles/2024-08-09/3499512.html | https://foreignpolicy.com/2024/08/09/us-economy-global-market-turmoil-fed-interest-rates-recession/?tpcc=recirc_trending062921
2024-12-15,broad_nasdaq,796,https://www.insidermonkey.com/blog/symbotic-sym-expands-ai-horizons-with-ohmnilabs-acquisition-a-game-changer-in-automation-and-healthcare-1407588/ | https://www.insidermonkey.com/blog/five9-fivn-wins-2024-innovation-award-leading-the-ai-revolution-in-contact-centers-1407591/ | https://www.insidermonkey.com/blog/11-best-cybersecurity-stocks-to-buy-according-to-wall-street-analysts-1406060/
2025-04-22,broad_nasdaq,2403,https://finance.sina.com.cn/roll/2025-04-23/doc-ineucccy6998492.shtml | https://www.hankookilbo.com:443/News/Read/A2025042307120004543 | https://amsterdamnews.com/news/2025/04/22/movement-prods-new-yorks-dormat-multi-billion-dollar-sales-tax-on-wall-street/
