Date,y_true,y_pred_hybrid,y_pred_no_vix
2025-01-13,504.8071899414063,504.52638435313935,498.7477
2025-01-14,504.3279113769531,502.5612292099621,496.4837
2025-01-15,515.9306030273438,505.1152420678839,496.6838
2025-01-16,512.3160400390625,515.4551882336281,507.35013
2025-01-17,520.9630737304688,509.93802619874106,506.28458
2025-01-21,524.0185546875,520.1701383708073,512.09076
2025-01-22,530.7185668945312,520.9574325672476,515.78424
2025-01-23,531.8468627929688,531.6230887496677,521.5123
2025-01-24,528.8413696289062,528.8428372044576,523.06195
2025-01-27,513.4443359375,528.0993195641553,520.0199
2025-01-28,521.0330200195312,506.55789288123856,505.83017
2025-01-29,520.0545043945312,524.2039165828485,510.48145
2025-01-30,522.2711181640625,518.7011707722406,512.63275
2025-01-31,521.5122680664062,521.9455789214014,514.6703
2025-02-03,517.3385009765625,519.6928112610835,514.05725
2025-02-04,523.6890258789062,513.1294110565168,509.80994
2025-02-05,526.0654907226562,524.4831068721276,514.48944
2025-02-06,528.8114013671875,527.00296272854,517.9131
2025-02-07,522.141357421875,526.3811630551371,520.3224
2025-02-10,528.4619140625,520.5935481247946,514.3454
2025-02-11,527.2037963867188,525.3809348689249,518.42487
2025-02-12,527.5133056640625,525.7171412543554,518.8494
2025-02-13,535.10205078125,525.9665043965905,518.79724
2025-02-14,537.3486938476562,534.1372200154394,525.4569
2025-02-18,538.5668334960938,537.8438471140146,528.6589
2025-02-19,538.7166748046875,535.8895554030819,529.4535
2025-02-20,536.4299926757812,539.4562554692569,529.26404
2025-02-21,525.296630859375,533.8183587210459,527.11255
2025-02-24,519.0958862304688,523.6824446558562,517.0048
2025-02-25,512.5556640625,516.491161093309,510.13556
2025-02-26,513.7938232421875,511.08113366414034,504.55066
2025-02-27,499.5250549316406,513.9890284806519,505.67096
2025-02-28,507.413330078125,496.2289257015197,494.11697
2025-03-03,496.3098449707031,506.3652846552226,498.55344
2025-03-04,494.8121032714844,493.7716282804136,491.02295
2025-03-05,501.2624816894531,491.4334457897929,487.45584
2025-03-06,487.4730529785156,500.6328559245243,493.15607
2025-03-07,491.0577087402344,483.9803470328076,482.66385
2025-03-10,472.0260925292969,487.1855702766139,482.72012
2025-03-11,470.8977661132813,469.590592092086,467.49527
2025-03-12,476.2098693847656,465.0720062444632,463.25922
2025-03-13,467.6426086425781,477.5576019015588,469.15045
2025-03-14,478.9457702636719,464.4923626209376,463.9313
2025-03-17,482.0511169433594,477.4189343777218,471.64655
2025-03-18,473.8334045410156,481.505452681225,476.67358
2025-03-19,480.1739501953125,469.62182798528966,469.47592
2025-03-20,478.5463562011719,479.6167351604848,472.3674
2025-03-21,480.1239929199219,476.6961581721412,472.57642
2025-03-24,490.6600036621094,478.66475232929633,473.7279
2025-03-25,493.4599914550781,490.5445932392111,483.17703
2025-03-26,484.3800048828125,492.8932388800346,487.66376
2025-03-27,481.6199951171875,482.6644584530539,479.515
2025-03-28,468.9400024414063,480.6105371885036,474.66046
2025-03-31,468.9200134277344,467.54306254840895,463.82245
2025-04-01,472.7000122070313,467.0636907620173,462.27286
2025-04-02,476.1499938964844,474.4214154261189,466.9569
2025-04-03,450.6600036621094,476.1329741809257,471.4251
2025-04-04,422.6700134277344,443.9563824315142,449.84845
2025-04-07,423.6900024414063,418.66738603312064,419.96448
2025-04-08,416.05999755859375,407.0877207470922,416.12927
2025-04-09,466.0,428.124127664066,413.39746
2025-04-10,446.1799926757813,465.6069911549901,455.37704
2025-04-11,454.3999938964844,447.0716855131248,450.71545
2025-04-14,457.4800109863281,443.260825914492,449.33194
2025-04-15,457.989990234375,456.534080094888,451.16525
2025-04-16,444.1799926757813,457.1181791394857,451.88126
2025-04-17,444.1000061035156,435.0878322563565,440.2388
2025-04-21,433.1099853515625,445.86278795466905,437.39407
2025-04-22,444.4800109863281,426.7180870943123,429.5445
